,temperature
2019-02-20 04:00:00,48.3
2019-02-20 05:00:00,45.98
2019-02-20 06:00:00,44.37
2019-02-20 07:00:00,43.34
2019-02-20 08:00:00,41.06
2019-02-20 09:00:00,39.96
2019-02-20 10:00:00,40.47
2019-02-20 11:00:00,39.78
2019-02-20 12:00:00,39.96
2019-02-20 13:00:00,40.93
2019-02-20 14:00:00,40.94
2019-02-20 15:00:00,41.23
2019-02-20 16:00:00,40.95
2019-02-20 17:00:00,43.83
2019-02-20 18:00:00,45.56
2019-02-20 19:00:00,49.27
2019-02-20 20:00:00,50.7
2019-02-20 21:00:00,51.44
2019-02-20 22:00:00,51.91
2019-02-20 23:00:00,52.44
2019-02-21 00:00:00,52.95
2019-02-21 01:00:00,52.83
2019-02-21 02:00:00,51.81
2019-02-21 03:00:00,50.5
2019-02-21 04:00:00,47.85
2019-02-21 05:00:00,46.29
2019-02-21 06:00:00,44.72
2019-02-21 07:00:00,42.1
2019-02-21 08:00:00,42.01
2019-02-21 09:00:00,42.55
2019-02-21 10:00:00,42.01
2019-02-21 11:00:00,41.19
2019-02-21 12:00:00,40.66
2019-02-21 13:00:00,39.81
2019-02-21 14:00:00,38.99
2019-02-21 15:00:00,39.0
2019-02-21 16:00:00,39.84
2019-02-21 17:00:00,41.85
2019-02-21 18:00:00,43.71
2019-02-21 19:00:00,44.86
2019-02-21 20:00:00,47.78
2019-02-21 21:00:00,49.61
2019-02-21 22:00:00,51.1
2019-02-21 23:00:00,53.23
2019-02-22 00:00:00,55.08
2019-02-22 01:00:00,55.69
2019-02-22 02:00:00,54.35
2019-02-22 03:00:00,52.81
2019-02-22 04:00:00,50.12
2019-02-22 05:00:00,47.22
2019-02-22 06:00:00,45.63
2019-02-22 07:00:00,42.87
2019-02-22 08:00:00,42.42
2019-02-22 09:00:00,41.54
2019-02-22 10:00:00,39.03
2019-02-22 11:00:00,38.04
2019-02-22 12:00:00,36.32
2019-02-22 13:00:00,37.09
2019-02-22 14:00:00,35.23
2019-02-22 15:00:00,34.66
2019-02-22 16:00:00,36.3
2019-02-22 17:00:00,40.17
2019-02-22 18:00:00,43.54
2019-02-22 19:00:00,47.36
2019-02-22 20:00:00,49.31
2019-02-22 21:00:00,50.1
2019-02-22 22:00:00,52.09
2019-02-22 23:00:00,53.24
2019-02-23 00:00:00,54.67
2019-02-23 01:00:00,55.29
2019-02-23 02:00:00,54.2
2019-02-23 03:00:00,49.5
2019-02-23 04:00:00,45.21
2019-02-23 05:00:00,43.4
2019-02-23 06:00:00,41.1
2019-02-23 07:00:00,39.72
2019-02-23 08:00:00,37.5
2019-02-23 09:00:00,36.0
2019-02-23 10:00:00,36.45
2019-02-23 11:00:00,35.01
2019-02-23 12:00:00,35.1
2019-02-23 13:00:00,34.72
2019-02-23 14:00:00,33.74
2019-02-23 15:00:00,33.41
2019-02-23 16:00:00,35.42
2019-02-23 17:00:00,40.42
2019-02-23 18:00:00,45.85
2019-02-23 19:00:00,48.26
